,id,query,tokens,prediction
214,214,دروس این ترم کجا نشون میده؟,"['دروس', 'ترم', 'کجا', 'نشون', 'میده']",1
215,215,دانشکده واقعا نیاز به بوفه داره,"['دانشکده', 'واقعا', 'نیاز', 'بوفه', 'داره']",2
216,216,اوبونتو ام کرش میکند. چه کنم؟,"['اوبونتو', 'ام', 'کرش', 'میکند', 'کنم']",3
217,217,دفتر دکتر عطار؟,"['دفتر', 'دکتر', 'عطار']",2
218,218,نمازخانه یاز است؟,"['نمازخانه', 'یاز']",2
219,219,آیا کامپیوتری با سیستم لینوکس هست؟,"['کامپیوتری', 'سیستم', 'لینوکس']",3
220,220,شورای صنفی نباید منحل میشد.,"['شورای', 'صنفی', 'نباید', 'منحل', 'میشد']",4
221,221,سیستم عامل کامپیوتر های سایت چیه؟,"['سیستم', 'عامل', 'کامپیوتر\u200cهای', 'سایت']",3
222,222,آخرین مهلت نظرسنجی اساتید کی هست؟,"['آخرین', 'مهلت', 'نظرسنجی', 'اساتید']",1
223,223,ساعت کار بوفه را زیاد کنید.,"['ساعت', 'کار', 'بوفه', 'زیاد', 'کنید']",4
224,224,میتونم تا ساعت 9 از کتابخانه استفاده کنم؟,"['میتونم', 'ساعت', '۹', 'کتابخانه', 'استفاده', 'کنم']",3
225,225,حذف اظطراری نامه پزشک نیاز دارد؟,"['حذف', 'اظطراری', 'نامه', 'پزشک', 'نیاز', 'دارد']",1
226,226,کتابخانه برای افراد متخطی چه قوانینی دارد؟,"['کتابخانه', 'افراد', 'متخطی', 'قوانینی', 'دارد']",3
227,227,سنوات چگونه است؟,"['سنوات', 'چگونه']",1
228,228,فلش می توان از سایت قرض گرفت؟,"['فلش', 'می\u200cتوان', 'سایت', 'قرض', 'گرفت']",3
229,229,سقف تعداد کتابی که میتوانیم قرض بگیریم؟,"['سقف', 'تعداد', 'کتابی', 'که', 'میتوانیم', 'قرض', 'بگیریم']",3
230,230,چه کتاب هایی را نمیتوانم امانت بگیرم؟,"['کتاب', 'هایی', 'نمیتوانم', 'امانت', 'بگیرم']",3
231,231,شرایط معدل الف شدن چیه؟,"['شرایط', 'معدل', 'الف', 'شدن']",1
232,232,تقلب در امتحانات باعث چی میشود؟,"['تقلب', 'در', 'امتحانات', 'باعث', 'چی', 'میشود']",1
233,233,شرایط کارآموزی چیست؟,"['شرایط', 'کارآموزی', 'چیست']",1
234,234,کلاس 101 کجاست؟,"['کلاس', '۱۰۱', 'کجاست']",2
235,235,چند واحد در حذف و اضافه می شود حذف کرد؟,"['واحد', 'در', 'حذف', 'اضافه', 'می\u200cشود', 'حذف', 'کرد']",1
236,236,کی کتاب طراحی الگوریتم رو میارید؟,"['کتاب', 'طراحی', 'الگوریتم', 'میارید']",3
237,237,کارت دانشجویی بهتر است غیر فیزیکی شود.,"['کارت', 'دانشجویی', 'بهتر', 'غیر', 'فیزیکی', 'شود']",4
238,238,فضای اختصاص یافته به تشکل ها خیلی کمه!,"['فضای', 'اختصاص', 'یافته', 'تشکل\u200cها', 'خیلی', 'کمه']",4
239,239,میتونم تا ساعت 9 از کتابخانه استفاده کنم؟,"['میتونم', 'ساعت', '۹', 'کتابخانه', 'استفاده', 'کنم']",3
240,240,هوا بارونیه یا افتابی؟,"['هوا', 'بارونیه', 'افتابی']",5
241,241,مرا به اتاق دکتر قوامی زاده راهنمایی کنید.,"['مرا', 'اتاق', 'دکتر', 'قوامی', 'زاده', 'راهنمایی', 'کنید']",2
242,242,از کجا گواهی اشتغال به تحصیل بگیرم؟,"['کجا', 'گواهی', 'اشتغال', 'تحصیل', 'بگیرم']",1
243,243,استخر دانشگاه کچاس؟,"['استخر', 'دانشگاه', 'کچاس']",5
244,244,لطفا افزایش ظرفیت بدهید.,"['لطفا', 'افزایش', 'ظرفیت', 'بدهید']",4
245,245,چارت درسی را از کجا باید ببینم؟,"['چارت', 'درسی', 'کجا', 'باید', 'ببینم']",1
246,246,چند کتابخانه در دانشکاه وجود دارد؟,"['کتابخانه', 'در', 'دانشکاه', 'وجود', 'دارد']",3
247,247,استاد محمدی نمره رندوم میده.,"['استاد', 'محمدی', 'نمره', 'رندوم', 'میده']",4
248,248,پارکینگ جای پارک دارد؟,"['پارکینگ', 'جای', 'پارک', 'دارد']",5
249,249,ترم تابستان چقدر شهریه دارد؟,"['ترم', 'تابستان', 'شهریه', 'دارد']",1
250,250,آشپز دانشگاه رو عوض کنید,"['آشپز', 'دانشگاه', 'عوض', 'کنید']",4
251,251,دانشکده علوم کامپیوتر هم اینجاست؟,"['دانشکده', 'علوم', 'کامپیوتر', 'هم', 'اینجاست']",2
252,252,در صورت مفقود شدن یا ناقص شدن کتاب امانی چه باید کرد,"['در', 'صورت', 'مفقود', 'شدن', 'ناقص', 'شدن', 'کتاب', 'امانی', 'باید', 'کرد']",3
253,253,انتخاب واخد کیه ؟,"['انتخاب', 'واخد']",1
254,254,انتخاب واحد رسما انتخابی نداره و اجباریه.,"['انتخاب', 'واحد', 'رسما', 'انتخابی', 'نداره', 'اجباریه']",1
255,255,چرا هنگام درس خوابمان می آید؟,"['هنگام', 'درس', 'خوابمان', 'می\u200cآید']",1
256,256,کجا می توانم فوتبال دستی بازی کنم؟,"['کجا', 'می\u200cتوانم', 'فوتبال', 'دستی', 'بازی', 'کنم']",2
257,257,حیات خلوت دانشکده کجاس ؟,"['حیات', 'خلوت', 'دانشکده', 'کجاس']",2
258,258,دانشگاه چه روزایی بازه؟,"['دانشگاه', 'روزایی', 'بازه']",2
259,259,انجمن علمی دانشکده کجا هست؟,"['انجمن', 'علمی', 'دانشکده', 'کجا']",2
260,260,درس های ارایه شده ترم تابستان.,"['درس\u200cهای', 'ارایه', 'شده', 'ترم', 'تابستان']",1
261,261,چجوری می تونم کارت کتابخونه رو بگیرم؟,"['چجوری', 'می\u200cتونم', 'کارت', 'کتابخونه', 'بگیرم']",3
262,262,مهلت حذف و اضافه تا کی هست؟,"['مهلت', 'حذف', 'اضافه']",1
263,263,تاریخ اتمام ساخت برج آزادی,"['تاریخ', 'اتمام', 'ساخت', 'برج', 'آزادی']",1
264,264,دانشکده زمین شناسی کجاست,"['دانشکده', 'زمین', 'شناسی', 'کجاست']",2
265,265,برای مهمان شدن باید چیکار کنیم؟,"['مهمان', 'شدن', 'باید', 'چیکار', 'کنیم']",1
266,266,جشن دانشکده کجا برگزار می شود؟,"['جشن', 'دانشکده', 'کجا', 'برگزار', 'می\u200cشود']",2
267,267,فلان استاد رندوم نمره میدهد,"['فلان', 'استاد', 'رندوم', 'نمره', 'میدهد']",4
268,268,کلاس رفع اشکال ریاضی 2 اینجا برگزار میشه؟,"['کلاس', 'رفع', 'اشکال', 'ریاضی', '۲', 'اینجا', 'برگزار', 'میشه']",2
269,269,چگونه از سایت دانشکده استفاده کنیم؟,"['چگونه', 'سایت', 'دانشکده', 'استفاده', 'کنیم']",3
270,270,حذف ترم میشه کرد,"['حذف', 'ترم', 'میشه', 'کرد']",1
271,271,کلاس 101 کجا میشه؟,"['کلاس', '۱۰۱', 'کجا', 'میشه']",2
272,272,چگونه میتوان رئیس دانشگاه را ملاقات کرد؟,"['چگونه', 'میتوان', 'رئیس', 'دانشگاه', 'ملاقات', 'کرد']",5
273,273,کوارتوس دار سیستم,"['کوارتوس', 'دار', 'سیستم']",3
274,274,بخشش نمیخورد جریمه ها؟,"['بخشش', 'نمیخورد', 'جریمه\u200cها']",3
275,275,کلید در آمفی تئاتر را از چه کسی بگیریم؟,"['کلید', 'در', 'آمفی', 'تئاتر', 'کسی', 'بگیریم']",2
276,276,صندلی های جدید بسیارخوب است ممنون.,"['صندلی\u200cهای', 'جدید', 'بسیارخوب', 'ممنون']",4
277,277,امکانات کتابخانه چی هست؟,"['امکانات', 'کتابخانه', 'چی']",3
278,278,میشه کلاس هایی که هفت صبح شروع میشن را کمتر کنید؟,"['میشه', 'کلاس', 'هایی', 'که', 'هفت', 'صبح', 'شروع', 'میشن', 'کمتر', 'کنید']",1
279,279,چرا بعضی از آپشن ها مثل بازگشت به عقب در امتحان ها وجود ندارد؟,"['بعضی', 'آپشن\u200cها', 'مثل', 'بازگشت', 'عقب', 'در', 'امتحان\u200cها', 'وجود', 'ندارد']",4
280,280,شرط فوق لیسانس بدون آزمون چیه؟,"['شرط', 'فوق', 'لیسانس', 'بدون', 'آزمون']",5
281,281,آزمایشگاه معماری در کجا قرار دارد؟,"['آزمایشگاه', 'معماری', 'در', 'کجا', 'قرار', 'دارد']",2
282,282,آیا کتاب هوش مصنوعی موجود دارید؟,"['کتاب', 'هوش', 'مصنوعی', 'موجود', 'دارید']",3
283,283,دانشکده ادبیات کجاست؟,"['دانشکده', 'ادبیات', 'کجاست']",2
284,284,معاون آموزشی را کجا پیدا کنم؟,"['معاون', 'آموزشی', 'کجا', 'پیدا', 'کنم']",2
285,285,دانشگاه صبح از ساعت چند باز است؟,"['دانشگاه', 'صبح', 'ساعت', 'باز']",2
286,286,کیوسک میدونستی سوالای من توی ساخت تو نقش داشتن؟,"['کیوسک', 'میدونستی', 'سوالای', 'ساخت', 'نقش', 'داشتن']",5
287,287,شهریه ترم تابستان چقدر است؟,"['شهریه', 'ترم', 'تابستان']",1
288,288,چرا اکثر دروس تک استادی هستند؟,"['اکثر', 'دروس', 'تک', 'استادی', 'هستند']",1
289,289,دکتر قوامی زاده را کجا پیدا کنم؟,"['دکتر', 'قوامی', 'زاده', 'کجا', 'پیدا', 'کنم']",2
290,290,چرا در داخل دانشگاه گیم نت وجود ندارد ؟,"['در', 'داخل', 'دانشگاه', 'گیم', 'نت', 'وجود', 'ندارد']",5
291,291,شرایط دسترسی به پایان نامه ها چگونه است؟,"['شرایط', 'دسترسی', 'پایان', 'نامه\u200cها', 'چگونه']",1
292,292,ساعت کاری آموزش دانشکده چگونه است؟,"['ساعت', 'کاری', 'آموزش', 'دانشکده', 'چگونه']",2
293,293,حداکثر چند کتاب می توانم قرض بگیرم؟,"['حداکثر', 'کتاب', 'می\u200cتوانم', 'قرض', 'بگیرم']",3
294,294,جشن ها را بیشتر کنید,"['جشن\u200cها', 'بیشتر', 'کنید']",4
295,295,چند واحد می تونم بردارم؟,"['واحد', 'می\u200cتونم', 'بردارم']",1
296,296,دانشکده تا چه ساعتی بازه؟,"['دانشکده', 'ساعتی', 'بازه']",2
297,297,آی دی آموزش دانشکده رو می خواستم.,"['آی', 'دی', 'آموزش', 'دانشکده', 'می\u200cخواستم']",2
298,298,هنوز حذف اضطراری من رو تائید نکردن.,"['هنوز', 'حذف', 'اضطراری', 'تائید', 'نکردن']",1
299,299,جریمه دیرکرد تحویل چیست؟,"['جریمه', 'دیرکرد', 'تحویل', 'چیست']",3
300,300,اتاق معاونت دانشکده کجاست؟,"['اتاق', 'معاونت', 'دانشکده', 'کجاست']",2
301,301,میشه تو کامپیوترها خودمون برنامه نصب کنیم؟,"['میشه', 'کامپیوترها', 'خودمون', 'برنامه', 'نصب', 'کنیم']",3
302,302,اگر کمتر از 12 واحد بهمون رسید چی کار کنیم؟,"['اگر', 'کمتر', '۱۲', 'واحد', 'بهمون', 'رسید', 'چی', 'کار', 'کنیم']",1
303,303,شرایط حذف اضطراری چیست؟,"['شرایط', 'حذف', 'اضطراری', 'چیست']",1
304,304,نوشتن تمرین های هوش به نمره اش نمی ارزه,"['نوشتن', 'تمرین\u200cهای', 'هوش', 'نمره\u200cاش', 'نمی\u200cارزه']",4
305,305,فردا ابری است؟,"['فردا', 'ابری']",5
306,306,غذای روز سلف چیست؟,"['غذای', 'روز', 'سلف', 'چیست']",2
307,307,دانشکده الهیات کجاست؟,"['دانشکده', 'الهیات', 'کجاست']",2
308,308,برای تغییر استاد یک درس چگونه می توان اقدام کرد؟,"['تغییر', 'استاد', 'یک', 'درس', 'چگونه', 'می\u200cتوان', 'اقدام', 'کرد']",1
309,309,اگر مشروط شوم، چی میشه؟,"['اگر', 'مشروط', 'شوم', 'چی', 'میشه']",1
310,310,کجا می تونم از خود پرداز پول بگیرم؟,"['کجا', 'می\u200cتونم', 'خود', 'پرداز', 'پول', 'بگیرم']",2
311,311,کدام واکسن کرونا بهتر است؟,"['کدام', 'واکسن', 'کرونا', 'بهتر']",5
312,312,چگونه کارت عضویت کتابخانه را بگیرم؟,"['چگونه', 'کارت', 'عضویت', 'کتابخانه', 'بگیرم']",3
313,313,درس فیزیک 2 را چه کسی ارائه می دهد؟,"['درس', 'فیزیک', '۲', 'کسی', 'ارائه', 'می\u200cدهد']",1
314,314,چه اساتیدی ریکامندیشن میدن؟,"['اساتیدی', 'ریکامندیشن', 'میدن']",5
315,315,چجوری تایم قرض گرفتن کتابو تمدید کنم؟,"['چجوری', 'تایم', 'قرض', 'گرفتن', 'کتابو', 'تمدید', 'کنم']",3
316,316,عینکم کجاست,"['عینکم', 'کجاست']",2
317,317,تاریخ یک امتحان قابل جابجایی می باشد؟,"['تاریخ', 'یک', 'امتحان', 'قابل', 'جابجایی', 'می\u200cباشد']",1
318,318,دستشویی کجاست,"['دستشویی', 'کجاست']",2
319,319,اساتید یکم بروز تر شوند,"['اساتید', 'یکم', 'بروز\u200cتر', 'شوند']",4
320,320,چرا به ما فرجه نمیدین؟,"['فرجه', 'نمیدین']",4
321,321,امروز ناهار سلف چیه؟,"['امروز', 'ناهار', 'سلف']",5
322,322,بلیط هواپیما تهران به مشهد گران شده است.,"['بلیط', 'هواپیما', 'تهران', 'مشهد', 'گران', 'شده_است']",5
323,323,بازگشت به عقب را در امتحانات نبندید,"['بازگشت', 'عقب', 'در', 'امتحانات', 'نبندید']",4
324,324,مدت زمان نکهداشتن کتاب ماکسیمم چقدره؟,"['مدت', 'زمان', 'نکهداشتن', 'کتاب', 'ماکسیمم']",3
325,325,وقت غیر معقول برای امتحانات ندهید,"['وقت', 'غیر', 'معقول', 'امتحانات', 'ندهید']",4
326,326,کتابخونه کجاست؟,"['کتابخونه', 'کجاست']",2
327,327,آیا می توانم از منابع کتابخانه در خارج از کتابخانه استفاده نمایم؟,"['می\u200cتوانم', 'منابع', 'کتابخانه', 'در', 'خارج', 'کتابخانه', 'استفاده', 'نمایم']",3
328,328,کی میتونیم از سرویس داخلی دانشگاه استفاده کنیم؟,"['میتونیم', 'سرویس', 'داخلی', 'دانشگاه', 'استفاده', 'کنیم']",2
329,329,چطوری میشه خوابگاه گرفت؟,"['چطوری', 'میشه', 'خوابگاه', 'گرفت']",1
330,330,سالن داره دانشگاه؟,"['سالن', 'داره', 'دانشگاه']",5
331,331,امتحان فلان استاد خیلی پرفشاره,"['امتحان', 'فلان', 'استاد', 'خیلی', 'پرفشاره']",4
332,332,دبیرخانه دانشکده کجاست؟,"['دبیرخانه', 'دانشکده', 'کجاست']",2
333,333,آیا میتوان درخواست اضافه شدن یک درس اختیاری را داد؟,"['میتوان', 'درخواست', 'اضافه', 'شدن', 'یک', 'درس', 'اختیاری', 'داد']",1
334,334,عدد رنگی گراف چطور بدست می آید؟,"['عدد', 'رنگی', 'گراف', 'چطور', 'بدست', 'می\u200cآید']",5
335,335,معدل الف یعنی چی؟,"['معدل', 'الف', 'یعنی', 'چی']",1
336,336,سقف وام دانشجویی چقدر است؟,"['سقف', 'وام', 'دانشجویی']",1
337,337,امتحانات ترم بهار از کی شروع میشود؟,"['امتحانات', 'ترم', 'بهار', 'شروع', 'میشود']",1
338,338,کلاس درس ریاضی۱ کجاست؟,"['کلاس', 'درس', 'ریاضی۱', 'کجاست']",2
339,339,جریمه دیر دادن کتاب چند تومنه ؟,"['جریمه', 'دیر', 'دادن', 'کتاب', 'تومنه']",3
340,340,اخرین مهلت انتخاب واحد؟,"['اخرین', 'مهلت', 'انتخاب', 'واحد']",1
341,341,میشه تو حیاط خلوت دانشکده سیگار کشید ؟,"['میشه', 'حیاط', 'خلوت', 'دانشکده', 'سیگار', 'کشید']",2
342,342,چگونه میتوانم از سایت دانشکده استفاده کنم؟,"['چگونه', 'میتوانم', 'سایت', 'دانشکده', 'استفاده', 'کنم']",3
343,343,آزمایشگاه های دانشکده چیا هست؟,"['آزمایشگاه\u200cهای', 'دانشکده', 'چیا']",2
344,344,هر ماه چقدر اینترنت میتونم مصرف کنم؟,"['ماه', 'اینترنت', 'میتونم', 'مصرف', 'کنم']",3
345,345,کلاس 202 در دانشکده کامپیوتر کجا است ؟,"['کلاس', '۲۰۲', 'در', 'دانشکده', 'کامپیوتر', 'کجا']",2
346,346,می خوام برای ارائه شدن رمزنگاری درخواست بدم.,"['می\u200cخوام', 'ارائه', 'شدن', 'رمزنگاری', 'درخواست', 'بدم']",1
347,347,تا کی می توانم از سایت دانشکده استفاده کنم؟,"['می\u200cتوانم', 'سایت', 'دانشکده', 'استفاده', 'کنم']",3
348,348,اون دانشجویی که خودکشی کرد از دانشکده کامپیوتر بوده؟,"['دانشجویی', 'که', 'خودکشی', 'کرد', 'دانشکده', 'کامپیوتر', 'بوده']",2
349,349,چرا بر خلاف اکثر دانشگاه ها فرجه امتحانی نداریم؟,"['بر', 'خلاف', 'اکثر', 'دانشگاه\u200cها', 'فرجه', 'امتحانی', 'نداریم']",4
350,350,سلف ها مواد غذایی را از کجا میگیرند,"['سلف\u200cها', 'مواد', 'غذایی', 'کجا', 'میگیرند']",5
351,351,چرا لابی دانشکده رو اینکاری کردید؟,"['لابی', 'دانشکده', 'اینکاری', 'کردید']",4
352,352,نزدیک ترین راه به مترو,"['نزدیک\u200cترین', 'راه', 'مترو']",2
353,353,هوا چطوره,"['هوا', 'چطوره']",5
354,354,نزدیکترین دانشکده به دانشکده ما کجاست؟,"['نزدیکترین', 'دانشکده', 'دانشکده', 'کجاست']",2
355,355,ایا استفاده از کامپیوتر سایت محدودیت زمانی دارد؟,"['ایا', 'استفاده', 'کامپیوتر', 'سایت', 'محدودیت', 'زمانی', 'دارد']",3
356,356,چرا راه اعتراض به مشکلات دانشکده را نداریم؟,"['راه', 'اعتراض', 'مشکلات', 'دانشکده', 'نداریم']",4
357,357,اتاق معاونت آموزشی کجاست؟,"['اتاق', 'معاونت', 'آموزشی', 'کجاست']",2
358,358,در تدریس دروس علاوه بر بخش نظری بخش عملی نیز تدریس شود,"['در', 'تدریس', 'دروس', 'علاوه', 'بر', 'بخش', 'نظری', 'بخش', 'عملی', 'نیز', 'تدریس', 'شود']",4
359,359,مدیر آموزش کیست؟,"['مدیر', 'آموزش', 'کیست']",2
360,360,سر امتحان حاضر نشدم باید چه کنم؟,"['سر', 'امتحان', 'حاضر', 'نشدم', 'باید', 'کنم']",1
361,361,اتاق مدیر گروه طبقه چندم است؟,"['اتاق', 'مدیر', 'گروه', 'طبقه', 'چندم']",2
362,362,لابی نداریم لطفا فکری کنید,"['لابی', 'نداریم', 'لطفا', 'فکری', 'کنید']",4
363,363,برای انتخاب واحد منع که ندارم؟,"['انتخاب', 'واحد', 'منع', 'که', 'ندارم']",1
364,364,آیا کلاس های عملی این هفته تشکیل می شود؟,"['کلاس\u200cهای', 'عملی', 'هفته', 'تشکیل', 'می\u200cشود']",4
365,365,می تونیم توی سایت یه کلاس برگزار کنم؟,"['می\u200cتونیم', 'سایت', 'یه', 'کلاس', 'برگزار', 'کنم']",2
366,366,با توجه به شرایط و حجم تمرین ها بهتر است نمرات حل تمرین بیشتر از ده نمره باشد.,"['توجه', 'شرایط', 'حجم', 'تمرین\u200cها', 'بهتر', 'نمرات', 'حل', 'تمرین', 'بیشتر', 'ده', 'نمره']",4
367,367,آزمایشگاه پردازش زبان طبیعی کجاست؟,"['آزمایشگاه', 'پردازش', 'زبان', 'طبیعی', 'کجاست']",2
368,368,فرصت نظرسنجی اساتید تا کیه,"['فرصت', 'نظرسنجی', 'اساتید']",1
369,369,چطور باید ثبت نام کنم؟,"['چطور', 'باید', 'ثبت', 'نام', 'کنم']",1
370,370,سرویس های بهداشتی تمیز نیستن,"['سرویس\u200cهای', 'بهداشتی', 'تمیز', 'نیستن']",4
371,371,تعداد دستشویی را زیاد کنید,"['تعداد', 'دستشویی', 'زیاد', 'کنید']",4
372,372,برخی اساتید همیشه کلاس را دیر شروع میکنند و بی نظم هستند.,"['برخی', 'اساتید', 'همیشه', 'کلاس', 'دیر', 'شروع', 'میکنند', 'بی', 'نظم', 'هستند']",4
373,373,استاد ایکس خیلی بد نمره میده.,"['استاد', 'ایکس', 'خیلی', 'بد', 'نمره', 'میده']",4
374,374,کتابخونه کتاب آموزش الگوریتم داره؟,"['کتابخونه', 'کتاب', 'آموزش', 'الگوریتم', 'داره']",3
375,375,پس از اتمام دوره کارآموزی چه باید کرد ؟,"['پس', 'اتمام', 'دوره', 'کارآموزی', 'باید', 'کرد']",1
376,376,چقدر تا شروع فرجه مانده؟,"['شروع', 'فرجه', 'مانده']",1
377,377,آز فیزیک کجاست؟,"['آز', 'فیزیک', 'کجاست']",2
378,378,انقضای کارت عضویت کتابخانه چه مدت است؟,"['انقضای', 'کارت', 'عضویت', 'کتابخانه', 'مدت']",3
379,379,برای کتابخونه عضویت نیازه؟,"['کتابخونه', 'عضویت', 'نیازه']",3
380,380,در سامانه گلستان من استاد راهنما ندارم.,"['در', 'سامانه', 'گلستان', 'استاد', 'راهنما', 'ندارم']",1
381,381,قیمت زمین محله ولنجک چقدره,"['قیمت', 'زمین', 'محله', 'ولنجک']",5
382,382,اکثر سرویس های بهداشتی فاقد مایع دستشویی هستند.,"['اکثر', 'سرویس\u200cهای', 'بهداشتی', 'فاقد', 'مایع', 'دستشویی', 'هستند']",2
383,383,استاد وحیدی رو کجا می تونم پیدا کنم؟,"['استاد', 'وحیدی', 'کجا', 'می\u200cتونم', 'پیدا', 'کنم']",2
384,384,بوفه ی دانشکده پنجشنبه هم باز است؟,"['بوفه\u200cی', 'دانشکده', 'پنجشنبه', 'هم', 'باز']",2
385,385,میخوام تو خوابگاه مهمان شم.,"['میخوام', 'خوابگاه', 'مهمان', 'شم']",5
386,386,دنبال کار هستم.,"['دنبال', 'کار', 'هستم']",5
387,387,اساتیدی که در صنعت هستند را هم استخدام کنید.,"['اساتیدی', 'که', 'در', 'صنعت', 'هستند', 'هم', 'استخدام', 'کنید']",4
388,388,مدرسه تکمیلی پاس و رد هست؟,"['مدرسه', 'تکمیلی', 'پاس', 'رد']",1
389,389,چطور میتونم در یک درس مهمان شم؟,"['چطور', 'میتونم', 'در', 'یک', 'درس', 'مهمان', 'شم']",1
390,390,چرا دکتر مجیدی انقدر بد درس میده؟,"['دکتر', 'مجیدی', 'انقدر', 'بد', 'درس', 'میده']",4
391,391,سقف تعداد واحد برای معدل الف چیست؟,"['سقف', 'تعداد', 'واحد', 'معدل', 'الف', 'چیست']",1
392,392,کلاس ها کجا برگزار میشود؟,"['کلاس\u200cها', 'کجا', 'برگزار', 'میشود']",2
393,393,چطور می توانم انصراف از تحصیل دهم؟,"['چطور', 'می\u200cتوانم', 'انصراف', 'تحصیل', 'دهم']",1
394,394,توی محوطه دانشگاه تصادف شده,"['محوطه', 'دانشگاه', 'تصادف', 'شده']",5
395,395,برای انجام کارای کارآموزی کجا باید برم؟,"['انجام', 'کارای', 'کارآموزی', 'کجا', 'باید', 'برم']",1
396,396,دانشکده اتاق بازی داره؟,"['دانشکده', 'اتاق', 'بازی', 'داره']",2
397,397,آیا برای اخذ درس حذف شده باید شهریه بپردازیم؟,"['اخذ', 'درس', 'حذف', 'شده', 'باید', 'شهریه', 'بپردازیم']",1
398,398,از کجا میتوانم بفهمم چه مدارکی ناقص است؟,"['کجا', 'میتوانم', 'بفهمم', 'مدارکی', 'ناقص']",1
399,399,اگه مدارکمون تکمیل نباشه چی میشه؟,"['اگه', 'مدارکمون', 'تکمیل', 'نباشه', 'چی', 'میشه']",1
400,400,بهتر است بعضی درس ها مانند الگوریتم و نظریه با چند استاد ارائه شوند.,"['بهتر', 'بعضی', 'درس\u200cها', 'مانند', 'الگوریتم', 'نظریه', 'استاد', 'ارائه', 'شوند']",4
401,401,برنامه زمانی اساتید.,"['برنامه', 'زمانی', 'اساتید']",1
402,402,دانشگاه استخر دارد؟,"['دانشگاه', 'استخر', 'دارد']",5
403,403,کارت خوابگاه رو امور خوابگاه ها میده؟,"['کارت', 'خوابگاه', 'امور', 'خوابگاه\u200cها', 'میده']",2
404,404,امروز چه تاریخی هستیم؟,"['امروز', 'تاریخی', 'هستیم']",5
405,405,کلاس ها خیلی هوای سردی دارن.,"['کلاس\u200cها', 'خیلی', 'هوای', 'سردی', 'دارن']",4
406,406,امتحانات در تایم بیرون کلاس میباشد,"['امتحانات', 'در', 'تایم', 'بیرون', 'کلاس', 'میباشد']",4
407,407,برای استفاده از سایت باید اکانت ساخت؟,"['استفاده', 'سایت', 'باید', 'اکانت', 'ساخت']",3
408,408,آبسرد کن ها درست نمیشن؟,"['آبسرد', 'کن\u200cها', 'درست', 'نمیشن']",4
409,409,دانشکده پنج شنبه ها است؟,"['دانشکده', 'پنج', 'شنبه\u200cها']",2
410,410,آسانسور خراب شده است.,"['آسانسور', 'خراب', 'شده_است']",4
411,411,ناهارخوری ای در دانشکده تعبیه کنید,"['ناهارخوری', 'ای', 'در', 'دانشکده', 'تعبیه', 'کنید']",4
412,412,حراست کجاست؟,"['حراست', 'کجاست']",2
413,413,نسخه های موجود از کتاب سیستم عامل سیلبرشتز را می خواهم.,"['نسخه\u200cهای', 'موجود', 'کتاب', 'سیستم', 'عامل', 'سیلبرشتز', 'می\u200cخواهم']",3
414,414,درسای بیشتر واسه اختیاریا ارائه بدید.,"['درسای', 'بیشتر', 'واسه', 'اختیاریا', 'ارائه', 'بدید']",4
415,415,ایا میتوان کمتر از 12 واحد اخذ کرد؟,"['ایا', 'میتوان', 'کمتر', '۱۲', 'واحد', 'اخذ', 'کرد']",1
416,416,لطفا جشن های بیشتری برگزار کنید.,"['لطفا', 'جشن\u200cهای', 'بیشتری', 'برگزار', 'کنید']",4
417,417,آبسرد کن ها نصفشون خراب اند,"['آبسرد', 'کن\u200cها', 'نصفشون', 'خراب', 'اند']",4
418,418,دانشکده کامپیوتر چند کلاس دارد؟,"['دانشکده', 'کامپیوتر', 'کلاس', 'دارد']",2
419,419,اگر رمز گلستان را فراموش کنم باید چی کار کنم؟,"['اگر', 'رمز', 'گلستان', 'فراموش', 'کنم', 'باید', 'چی', 'کار', 'کنم']",1
420,420,مسیر دانشگاه خیلی بده,"['مسیر', 'دانشگاه', 'خیلی', 'بده']",5
421,421,چطوری باید از دانشکده های دیگر واجد برداریم؟,"['چطوری', 'باید', 'دانشکده\u200cهای', 'دیگر', 'واجد', 'برداریم']",1
422,422,تعداد دروس عملی دانشگاه تقریبا 0 است.,"['تعداد', 'دروس', 'عملی', 'دانشگاه', 'تقریبا', '۰']",4
423,423,مزایای الف بودن معدل چیست؟,"['مزایای', 'الف', 'بودن', 'معدل', 'چیست']",1
424,424,چگونه برای سلف غذا رزرو کنم؟,"['چگونه', 'سلف', 'غذا', 'رزرو', 'کنم']",2
425,425,ازچه مسیری می شه زود تر به دانشکده ی معماری رسید؟,"['ازچه', 'مسیری', 'می\u200cشه', 'زود\u200cتر', 'دانشکده\u200cی', 'معماری', 'رسید']",2
426,426,دستگاه چایی ساز قرار دهید.,"['دستگاه', 'چایی', 'ساز', 'قرار', 'دهید']",4
427,427,هالیدی کتابش هست؟,"['هالیدی', 'کتابش']",3
428,428,کیفیت غذا ها سلف را بهتر کنید,"['کیفیت', 'غذا\u200cها', 'سلف', 'بهتر', 'کنید']",4
429,429,مدرسه تکمیلی هم واحد اختیاری است؟,"['مدرسه', 'تکمیلی', 'هم', 'واحد', 'اختیاری']",1
430,430,نحوه انتخاب افراد دانشگاه چگونه است,"['نحوه', 'انتخاب', 'افراد', 'دانشگاه', 'چگونه']",5
431,431,سیستم های سایت خیلی ضعیفه,"['سیستم\u200cهای', 'سایت', 'خیلی', 'ضعیفه']",3
